bromeliad	Date	vol	max_vol	longest_leaf	no_leaves	detritus
Brom 3	17-01-2007	152	335	43	26	3.05
Brom 46	18-01-2007	255	525	47	41	22.53
Brom 95	19-01-2007	145	410	88.5	33	32.56
Brom 102	19-01-2008	285	625	81	28	45.8
Brom 16	20-01-2008	655	1270	62	53	89.65
Brom 48	22-01-2008	910	1625	74	51	59.11
Brom 85	23-01-2008	40	85	44	19	5.2
Brom 64	26-01-2008	1065	2840	73	87	82.12
Brom 82	26-01-2008	5	8	28	8	1.58
Brom 77	26-01-2008	105	270	73	29	24.63
Brom 7	27-01-2008	40	90	37	15	3.81
Brom 1	28-01-2008	830	1760	58	62	73.95
Brom 4	29-01-2008	385	810	60	42	32.93
Brom 53	29-01-2008	65	140	31	23	6.25
Brom 40	30-01-2008	280	910	71	51	56.34
Brom 79	31-01-2008	765	1380	85	51	72.92
Brom A	2008/02/01	25	55	44	16	5.22
Brom B	2008/02/04	22	41	25.5	15	0.11
Brom C	2008/02/04	90	155	32.4	17	0.54
Brom D	2008/02/04	70	127	31	18	4.01
Brom E	2008/02/05	20	37	19	23	0.23
Brom F	2008/02/05	40	72	24	20	0.69
Brom G	2008/02/06	27	52	17	21	0.1
Brom H	2008/02/06	8	21	29	14	1.1
Brom I	2008/02/06	8	19	18	23	0.02
